id,name,totalUnits,residentsCount,lat,lng
2,Be @ Schermerhorn,246,112,40.6893716,-73.9866769
3,172 Montague,62,38,40.6940946,-73.9922708
4,248 Duffield St,121,18,40.6909584,-73.9846353
5,115 Stanwix,130,312,40.7019596,-73.9353851
6,55 N 5th,158,119,40.7189734,-73.9621145
7,889 Bushwick Ave,55,21,40.6937899,-73.9250748
8,594 Bushwick Ave,64,56,40.6983906,-73.9347167
9,709 Hart St,32,15,40.6996122,-73.9252836
11,29 Harman St,43,26,40.6945072,-73.9248222
12,803 Wyckoff Ave,54,191,40.6981947,-73.90815
13,1 Duffield St,84,12,40.698229,-73.9835998
16,12 Eckford,101,55,40.7204909,-73.9476789
17,1433 Dekalb Ave,25,48,40.7004952,-73.9232721
18,542 Saint Mark's Ave,36,50,40.6805029,-73.9624327
21,420 Kent Ave,560,694,40.7100012,-73.9690503
22,10 Nevins St,186,102,40.6885353,-73.9813632
27,10 Montieth St,443,281,40.7012005,-73.9357079
29,325 Kent Ave,501,175,40.7132894,-73.9666592
31,171 E 84th,219,33,40.7779756,-73.9551546
32,575 3rd St,36,41,40.6694416,-73.9757026
35,245 E 21st,90,36,40.736902,-73.9821123
36,238 E 36th St,40,14,40.7460927,-73.9754275
37,200 Water St,577,525,40.7072187,-74.0047549
38,140 Riverside Blvd,346,97,40.7770886,-73.9887893
40,365 Bridge St,250,40,40.6925905,-73.9849373
41,505 W 37th,835,712,40.7569625,-73.9983749
43,38 Roebling St,30,21,40.7177319,-73.9538029
45,157 Suffolk St,35,17,40.7209687,-73.9854363
48,95 Wall St,526,757,40.7047955,-74.0076151
50,272 Grand St,12,10,40.7130951,-73.958118
51,109-10 Queens Blvd,120,21,40.7200538,-73.8419576
52,31 Monroe St,28,23,40.7117497,-73.9949885
54,25 Broad St,308,158,40.7060521,-74.0110566
60,Kips Bay Court,90,50,40.741352,-73.9780426
61,495 W End Ave,128,40,40.7875444,-73.9791921
62,430 E 89th St,20,10,40.7781719,-73.9468704
63,45 Wall St,434,335,40.7064044,-74.0098337
64,211 W 56th St,394,189,40.7655121,-73.9816622
65,100 Willoughby St,504,269,40.6920217,-73.9847946
66,30 Washington St,94,28,40.7034851,-73.9898181
67,Parkside,451,695,40.7297358,-74.0336447
68,10 E 29th St,393,95,40.7447841,-73.986174
69,605 W 42nd St,1097,492,40.7614804,-73.9986128
70,312 11th Ave,369,29,40.7451443,-74.0081805
71,15 W 61st St,167,45,40.7701937,-73.9829177
72,33 Bond St,692,266,40.6883492,-73.983241
73,250 E 30th,77,19,40.7422824,-73.9781111
76,220 E 57th St,164,32,40.7596553,-73.9668231
77,44-41 Purves St,127,81,40.7463122,-73.9406387
78,345 Main St,74,14,41.03542,-73.7615284
79,157 W 106 St,25,22,40.8004594,-73.9649843
80,333 E 49th St,184,52,40.7538834,-73.9676279
81,1209 Dekalb,127,41,40.6957245,-73.9279452
82,160 E 55th St,58,22,40.7590159,-73.9691179
83,21 India St,456,132,40.7319162,-73.9607595
84,250 N 10th St,233,133,40.7174124,-73.9527997
87,1365 York Ave,418,110,40.7674622,-73.9540369
89,Jackson Park LIC,627,388,40.748231,-73.9382324
90,10 Hanover Sq,445,402,40.7046069,-74.0088274
91,104-20 Queens Blvd,422,85,40.7240354,-73.8500872
92,30 W 61st St,162,32,40.7701201,-73.9833141
93,1675 York Ave,386,103,40.7778558,-73.9463148
94,99 Gold St,79,13,40.7019808,-73.9825438
95,833 Monroe St,87,34,40.6889396,-73.9226177
96,105 Corporate Park D,307,297,41.0208014,-73.7212143
97,East River Housing,119,26,40.7128994,-73.9791921
99,100 W 31st St,375,46,40.7480368,-73.9897716
100,The Gateway Tower,82,15,40.8027402,-73.9562297
101,120 Nassau St,270,127,40.698359,-73.9864378
102,300 W 55th St,352,48,40.765122,-73.9842819
104,165 Pinehurst Ave,40,15,40.8537546,-73.9379585
105,50 W 72nd St,631,80,40.7770249,-73.9784575
107,One Manhattan Sq,814,320,40.7105698,-73.9913031
108,160 Madison Ave,318,91,40.7470304,-73.9838866
109,199 State St,46,37,40.6902635,-73.9911341
110,200 Rector Pl,541,149,40.7086444,-74.0161953
111,550 W 54th St,631,166,40.7677879,-73.991741
112,120 E 36th St,91,22,40.7477728,-73.9794793
113,1 South 1st St,302,76,40.7157267,-73.966546
114,11 Hoyt St,480,162,40.6899289,-73.9849747
115,223 N 8th St,81,34,40.7175061,-73.9545753
116,804 W 180th St,44,28,40.8500549,-73.9395183
117,200 W 90th St,97,31,40.7903103,-73.9736823
118,152-11 89th Ave,453,155,40.7054029,-73.8042602
119,400 E 58th St,124,22,40.7586872,-73.9622261
121,45 Hoyt St,369,77,40.6892617,-73.9857155
